3-Jan-00,,,,,,,,,,,,,,,
31-Oct-23,,,,,,,,,,,,,,,
,A,,Start Date,1/3/2000,,,,,,,,,,,
,B,,End Date,,,,,,,,,,,,
,C,,,,,,,,,,,,,,
,,,,A Index,B Index,C Index,D Index ,,,,,,,,
,,,,Last Price,Last Price,Last Price,Last Price,,,,,,,,
,,,Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,,,,,,,,
,,,4/22/2010,127.81,279.05,1325.57,181.0864,,,,,,,,
,,,4/23/2010,127.97,280.2,1327.04,181.2861,,,,,,,,
,,,4/26/2010,127.93,280.11,1326.73,181.3459,,,,,,,,
,,,4/27/2010,127.91,277.91,1320.79,180.6615,,,,,,,,
,,,4/28/2010,127.63,277.84,1320.83,180.5824,,,,,,,,
,,,4/29/2010,128.21,280.14,1329.64,180.8575,,,,,,,,
,,,4/30/2010,128.12,278.44,1328.72,180.735,,,,,,,,
,,,5/3/2010,128.25,280.21,1332.62,180.9213,,,,,,,,
,,,5/4/2010,127.76,277.95,1327.14,180.1336,,,,,,,,
,,,5/5/2010,127.81,277.37,1324.19,179.8537,,,,,,,,
,,,5/6/2010,128.26,274.51,1312.07,179.1248,,,,,,,,
,,,5/7/2010,127.33,274.23,1304.44,178.6158,,,,,,,,
,,,5/10/2010,127.92,275.64,1318.37,179.8719,,,,,,,,
,,,5/11/2010,128.25,275.73,1316.28,179.7922,,,,,,,,
,,,5/12/2010,128.6,276.24,1319.29,180.0353,,,,,,,,
,,,5/13/2010,128.28,275.72,1318.25,179.9491,,,,,,,,
,,,5/14/2010,128.59,276.48,1317.19,179.5831,,,,,,,,
,,,5/17/2010,128.28,276.13,1316.33,179.5275,,,,,,,,
,,,5/18/2010,128.62,275.9,1316.57,179.5489,,,,,,,,
,,,5/19/2010,128.36,276.29,1315.08,179.3644,,,,,,,,
,,,5/20/2010,127.98,276.29,1307.31,178.9943,,,,,,,,
,,,5/21/2010,129.26,278.08,1311.91,179.1458,,,,,,,,
,,,5/24/2010,128.59,277.19,1308.08,179.018,,,,,,,,
,,,5/25/2010,129.28,278.47,1307.43,178.9309,,,,,,,,
,,,5/26/2010,128.18,276.81,1305.12,178.9052,,,,,,,,
,,,5/27/2010,128.23,276.62,1309.34,179.3224,,,,,,,,
,,,5/28/2010,128.21,275.09,1306.54,179.2301,,,,,,,,
,,,5/31/2010,128.21,275.09,1306.54,179.2301,,,,,,,,
,,,6/1/2010,127.69,275.02,1302.55,179.0551,,,,,,,,
,,,6/2/2010,128.13,275.77,1308,179.2463,,,,,,,,
,,,6/3/2010,127.93,275.21,1306.55,179.3434,,,,,,,,
,,,6/4/2010,128.93,275.76,1303.85,179.1391,,,,,,,,
,,,6/7/2010,128.39,275.74,1302.15,178.8512,,,,,,,,
,,,6/8/2010,128.83,276.64,1304.05,179.3305,,,,,,,,
,,,6/9/2010,128.42,275.74,1302.17,178.8273,,,,,,,,
,,,6/10/2010,127.78,276.24,1307.21,177.9589,,,,,,,,
,,,6/11/2010,129.42,277.05,1314.39,178.6716,,,,,,,,
,,,6/14/2010,128.66,276.17,1312,178.0058,,,,,,,,
,,,6/15/2010,129.04,277.21,1318.35,177.7499,,,,,,,,
,,,6/16/2010,129.33,277.25,1320.33,177.8291,,,,,,,,
,,,6/17/2010,130.51,278.44,1324.98,178.3064,,,,,,,,
,,,6/18/2010,130.22,278.23,1324.79,177.7745,,,,,,,,
,,,6/21/2010,129.79,277.37,1323.7,177.4887,,,,,,,,
,,,6/22/2010,130.57,277.55,1322.03,178.4031,,,,,,,,
,,,6/23/2010,131.03,278.37,1324.12,179.0147,,,,,,,,
,,,6/24/2010,130.38,277.76,1314.89,179.3761,,,,,,,,
,,,6/25/2010,130.85,277.9,1318.37,179.4481,,,,,,,,
,,,6/28/2010,131.61,279.17,1320.73,179.9645,,,,,,,,
,,,6/29/2010,130.97,278.25,1312.67,180.3388,,,,,,,,
,,,6/30/2010,130.86,277.93,1312.22,180.4011,,,,,,,,
,,,7/1/2010,131.15,278.36,1311.27,180.5464,,,,,,,,
,,,7/2/2010,130.35,276.91,1306.53,180.1203,,,,,,,,
,,,7/5/2010,130.35,276.91,1306.53,180.1203,,,,,,,,
,,,7/6/2010,131.21,278.15,1311.75,180.3595,,,,,,,,
,,,7/7/2010,131.74,280.13,1319.99,180.2609,,,,,,,,
,,,7/8/2010,131.46,280.07,1321.34,179.9165,,,,,,,,
,,,7/9/2010,131.58,280.41,1322.09,179.8648,,,,,,,,
,,,7/12/2010,131.6,280.76,1322.6,180.0597,,,,,,,,
,,,7/13/2010,131.64,281.13,1325.57,179.7844,,,,,,,,
,,,7/14/2010,132.28,281.68,1329.54,179.9134,,,,,,,,
,,,7/15/2010,133.36,283.35,1332.91,180.7337,,,,,,,,
,,,7/16/2010,133.07,281.76,1325.23,180.7509,,,,,,,,
,,,7/19/2010,132.85,281.67,1325.18,180.1871,,,,,,,,
,,,7/20/2010,133.62,283.47,1329.58,180.8458,,,,,,,,
,,,7/21/2010,133.72,282.81,1331.59,181.2439,,,,,,,,
,,,7/22/2010,133.99,285.17,1335.75,181.5468,,,,,,,,
,,,7/23/2010,133.47,285.39,1335.62,180.7046,,,,,,,,
,,,7/26/2010,134.11,286.12,1338.82,180.5553,,,,,,,,
,,,7/27/2010,133.48,286.08,1335.32,179.898,,,,,,,,
,,,7/28/2010,133.55,285.48,1334.77,180.3175,,,,,,,,
,,,7/29/2010,133.71,285.7,1333.43,181.2331,,,,,,,,
,,,7/30/2010,135.13,287.5,1340.04,182.6784,,,,,,,,
,,,8/2/2010,134.93,289.63,1343.45,182.7963,,,,,,,,
,,,8/3/2010,135.63,290.67,1344.87,183.8316,,,,,,,,
,,,8/4/2010,135.45,290.86,1343.96,184.0195,,,,,,,,
,,,8/5/2010,135.55,291.33,1345.97,184.2509,,,,,,,,
,,,8/6/2010,136.65,292.96,1351.22,184.5306,,,,,,,,
,,,8/9/2010,136.9,293.88,1351.87,184.8579,,,,,,,,
,,,8/10/2010,137.35,294.75,1350.69,184.6329,,,,,,,,
,,,8/11/2010,137.73,293.7,1345.19,184.1386,,,,,,,,
,,,8/12/2010,137.59,293.66,1342.07,183.8808,,,,,,,,
,,,8/13/2010,137.82,294.08,1346.69,183.9502,,,,,,,,
,,,8/16/2010,139.22,296.47,1359.59,184.2724,,,,,,,,
,,,8/17/2010,138.69,297,1361.39,184.4443,,,,,,,,
,,,8/18/2010,138.77,297.01,1363.51,184.6165,,,,,,,,
,,,8/19/2010,138.92,296.61,1364.41,184.2531,,,,,,,,
,,,8/20/2010,138.28,295.98,1362.7,183.9908,,,,,,,,
,,,8/23/2010,138.12,295.13,1361.17,183.9187,,,,,,,,
,,,8/24/2010,139.29,295.41,1363.5,183.9427,,,,,,,,
,,,8/25/2010,139.1,295.68,1363.56,183.8263,,,,,,,,
,,,8/26/2010,139.27,294.54,1364.91,183.7235,,,,,,,,
,,,8/27/2010,138.75,296.27,1358.27,183.7879,,,,,,,,
,,,8/30/2010,139.18,294.48,1361.22,183.8962,,,,,,,,
,,,8/31/2010,139.44,295.55,1366.84,184.0068,,,,,,,,
,,,9/1/2010,140.17,301.47,1368.86,184.3742,,,,,,,,
,,,9/2/2010,140.21,302.82,1367.83,184.3681,,,,,,,,
,,,9/3/2010,140.35,304.8,1367.3,184.3893,,,,,,,,
,,,9/6/2010,140.35,304.8,1367.3,184.3893,,,,,,,,
,,,9/7/2010,140.57,303.32,1371.74,184.733,,,,,,,,
,,,9/8/2010,140.48,304.41,1371,184.6249,,,,,,,,
,,,9/9/2010,139.65,304.78,1364.05,184.27,,,,,,,,
,,,9/10/2010,139.66,305.54,1364.38,183.8066,,,,,,,,
,,,9/13/2010,140.53,307.93,1372.1,184.572,,,,,,,,
,,,9/14/2010,141.26,308.15,1376.88,185.1725,,,,,,,,
,,,9/15/2010,141.24,308.48,1372.82,185.1456,,,,,,,,
,,,9/16/2010,141.09,308.16,1368.03,184.5712,,,,,,,,
,,,9/17/2010,141.28,307.71,1370.07,184.7948,,,,,,,,
,,,9/20/2010,142.11,310.45,1379.1,185.3273,,,,,,,,
,,,9/21/2010,142.75,311.14,1386,185.9425,,,,,,,,
,,,9/22/2010,142.71,310.72,1387.49,186.4301,,,,,,,,
,,,9/23/2010,142.63,309.71,1385.81,186.4977,,,,,,,,
,,,9/24/2010,143.03,312.5,1388.54,186.8258,,,,,,,,
,,,9/27/2010,143.41,312.07,1393.96,187.4354,,,,,,,,
,,,9/28/2010,143.93,313.32,1398.55,187.987,,,,,,,,
,,,9/29/2010,143.76,313.35,1395.83,187.8437,,,,,,,,
,,,9/30/2010,143.82,312.79,1394.88,187.4067,,,,,,,,
,,,10/1/2010,143.88,314.1,1394.1,187.3751,,,,,,,,
,,,10/4/2010,143.58,312.69,1392.26,187.4773,,,,,,,,
,,,10/5/2010,144.52,316.73,1400.06,188.4214,,,,,,,,
,,,10/6/2010,144.87,317.54,1406.5,189.2708,,,,,,,,
,,,10/7/2010,144.7,317.24,1402.75,188.6362,,,,,,,,
,,,10/8/2010,145.13,318.79,1404.37,189.3192,,,,,,,,
,,,10/11/2010,145.25,318.98,1404.99,189.3557,,,,,,,,
,,,10/12/2010,144.95,318.98,1402.64,189.2702,,,,,,,,
,,,10/13/2010,145.54,321.02,1405.99,189.9362,,,,,,,,
,,,10/14/2010,145.18,321.12,1398.11,189.6763,,,,,,,,
,,,10/15/2010,145.22,321.6,1393.41,189.0165,,,,,,,,
,,,10/18/2010,145.54,321.87,1399.29,189.576,,,,,,,,
,,,10/19/2010,144.42,318.8,1394.53,188.2704,,,,,,,,
,,,10/20/2010,145.08,321.04,1399.48,188.7512,,,,,,,,
,,,10/21/2010,144.64,321.03,1396.11,188.1887,,,,,,,,
,,,10/22/2010,144.82,321.95,1399.03,188.2092,,,,,,,,
,,,10/25/2010,145.36,322.74,1402.5,188.6257,,,,,,,,
,,,10/26/2010,144.8,322.77,1396.45,188.2021,,,,,,,,
,,,10/27/2010,144.19,321.99,1391.08,187.133,,,,,,,,
,,,10/28/2010,144.85,322.11,1393.73,187.8093,,,,,,,,
,,,10/29/2010,145.42,322.29,1397.57,188.0785,,,,,,,,
,,,11/1/2010,145.32,322.87,1396.43,188.2715,,,,,,,,
,,,11/2/2010,145.94,324.71,1404.46,189.0001,,,,,,,,
,,,11/3/2010,145.62,325.26,1399.99,188.9854,,,,,,,,
,,,11/4/2010,146.81,328.68,1413.83,191.1394,,,,,,,,
,,,11/5/2010,146.4,329.64,1410.23,191.1802,,,,,,,,
,,,11/8/2010,146.26,329.58,1411.13,191.4187,,,,,,,,
,,,11/9/2010,145.15,328.19,1400.9,191.3832,,,,,,,,
,,,11/10/2010,145.61,329.38,1402.98,191.0062,,,,,,,,
,,,11/11/2010,145.11,329.85,1400.87,190.7995,,,,,,,,
,,,11/12/2010,143.68,327.02,1393.16,189.1308,,,,,,,,
,,,11/15/2010,143.04,327.07,1384.98,188.2156,,,,,,,,
,,,11/16/2010,142.61,323.09,1385.58,186.9629,,,,,,,,
,,,11/17/2010,142.55,324.15,1385.2,187.0151,,,,,,,,
,,,11/18/2010,143.13,327.19,1391.08,186.9566,,,,,,,,
,,,11/19/2010,143.27,328.04,1393.42,186.971,,,,,,,,
,,,11/22/2010,143.92,328.12,1395.79,187.1059,,,,,,,,
,,,11/23/2010,143.7,325.62,1392.79,187.2793,,,,,,,,
,,,11/24/2010,143.36,328.13,1391.45,187.0307,,,,,,,,
,,,11/25/2010,143.36,328.13,1391.45,187.0307,,,,,,,,
,,,11/26/2010,143.19,326.49,1391.51,186.9004,,,,,,,,
,,,11/29/2010,143.53,326.93,1393.42,186.9461,,,,,,,,
,,,11/30/2010,143.32,326.07,1393.38,187.1857,,,,,,,,
,,,12/1/2010,142.84,329.74,1393.92,187.0754,,,,,,,,
,,,12/2/2010,142.94,332.21,1396.44,187.0017,,,,,,,,
,,,12/3/2010,143.11,332.61,1395.97,187.0421,,,,,,,,
,,,12/6/2010,143.81,332.72,1401.52,187.305,,,,,,,,
,,,12/7/2010,142.1,332.36,1392.14,186.8051,,,,,,,,
,,,12/8/2010,141.75,332.07,1387.35,186.5109,,,,,,,,
,,,12/9/2010,141.84,332.19,1390.12,186.6708,,,,,,,,
,,,12/10/2010,141.46,333,1388.53,186.4936,,,,,,,,
,,,12/13/2010,141.9,333.34,1390.71,186.5668,,,,,,,,
,,,12/14/2010,140.77,332.97,1386.21,186.2831,,,,,,,,
,,,12/15/2010,140.09,331.93,1379.9,186.1375,,,,,,,,
,,,12/16/2010,140.49,333.02,1383.41,186.0382,,,,,,,,
,,,12/17/2010,141.25,333.24,1390.44,186.9788,,,,,,,,
,,,12/20/2010,141.05,334,1391.19,187.1944,,,,,,,,
,,,12/21/2010,141.56,335.56,1394.89,187.2892,,,,,,,,
,,,12/22/2010,141.47,336.02,1394.2,187.438,,,,,,,,
,,,12/23/2010,141.24,335.8,1393.22,187.2849,,,,,,,,
,,,12/24/2010,141.24,335.8,1393.22,187.2849,,,,,,,,
,,,12/27/2010,141.31,335.77,1395.77,187.25,,,,,,,,
,,,12/28/2010,141.6,335.88,1390.64,187.3288,,,,,,,,
,,,12/29/2010,141.89,336.58,1397.33,187.4901,,,,,,,,
,,,12/30/2010,141.82,336.49,1396.59,187.6793,,,,,,,,
,,,12/31/2010,141.99,336.77,1400.7,188.1904,,,,,,,,
,,,1/3/2011,142.36,338.84,1403,188.3926,,,,,,,,
,,,1/4/2011,142.11,337.96,1403.17,188.1514,,,,,,,,
,,,1/5/2011,142.46,338,1396.76,187.4469,,,,,,,,
,,,1/6/2011,142.2,337.45,1397,187.4486,,,,,,,,
,,,1/7/2011,142,337.96,1399.61,187.774,,,,,,,,
,,,1/10/2011,142.06,338.18,1400.72,187.9514,,,,,,,,
,,,1/11/2011,142.3,339.14,1401.1,188.2006,,,,,,,,
,,,1/12/2011,142.86,340.51,1402.53,188.1253,,,,,,,,
,,,1/13/2011,142.61,341.03,1405.24,188.0842,,,,,,,,
,,,1/14/2011,142.7,342.52,1403.73,187.9971,,,,,,,,
,,,1/17/2011,142.7,342.52,1403.73,187.9971,,,,,,,,
,,,1/18/2011,142.99,342.1,1403.03,187.5435,,,,,,,,
,,,1/19/2011,142.62,340,1401.38,187.5484,,,,,,,,
,,,1/20/2011,142.39,337.82,1395.1,186.4698,,,,,,,,
,,,1/21/2011,142,337.61,1397.11,186.7241,,,,,,,,
,,,1/24/2011,142.16,339.47,1399.89,186.5879,,,,,,,,
,,,1/25/2011,141.76,340.48,1404.01,186.1453,,,,,,,,
,,,1/26/2011,142.69,341.15,1400.5,186.1577,,,,,,,,
,,,1/27/2011,142.11,340.75,1402.33,185.9751,,,,,,,,
,,,1/28/2011,141.53,339.08,1396.55,186.9989,,,,,,,,
,,,1/31/2011,141.89,340.39,1397.01,187.4206,,,,,,,,
,,,2/1/2011,142.88,341.7,1402.14,187.0768,,,,,,,,
,,,2/2/2011,142.94,341.59,1401.45,186.8361,,,,,,,,
,,,2/3/2011,143.37,341.05,1399.67,186.8168,,,,,,,,
,,,2/4/2011,143.76,339.57,1397.2,186.184,,,,,,,,
,,,2/7/2011,143.81,340.28,1400.68,186.0454,,,,,,,,
,,,2/8/2011,144.44,341.39,1399.2,185.9421,,,,,,,,
,,,2/9/2011,143.73,340.99,1401.6,185.8536,,,,,,,,
,,,2/10/2011,143.83,341.04,1397.23,185.5864,,,,,,,,
,,,2/11/2011,143.79,343.28,1405.07,185.7294,,,,,,,,
,,,2/14/2011,143.71,344.27,1406.69,186.0709,,,,,,,,
,,,2/15/2011,143.87,343.9,1406.75,185.9499,,,,,,,,
,,,2/16/2011,144.13,344.79,1408.76,185.9589,,,,,,,,
,,,2/17/2011,144.13,345.69,1412.14,186.541,,,,,,,,
,,,2/18/2011,144.28,345.6,1413.34,186.6864,,,,,,,,
,,,2/21/2011,144.28,345.6,1413.34,186.6864,,,,,,,,
,,,2/22/2011,142.94,345.58,1406.96,187.5808,,,,,,,,
,,,2/23/2011,143.09,345.06,1404.87,187.9103,,,,,,,,
,,,2/24/2011,142.86,345.95,1406.68,187.9254,,,,,,,,
,,,2/25/2011,143.32,348.09,1415.53,188.3063,,,,,,,,
,,,2/28/2011,143.43,348.71,1419.48,188.5376,,,,,,,,
,,,3/1/2011,143.32,345.76,1412.4,188.7506,,,,,,,,
,,,3/2/2011,143.83,345.73,1408.65,188.7031,,,,,,,,
,,,3/3/2011,144.48,345.22,1413.48,187.8688,,,,,,,,
,,,3/4/2011,144.34,345.47,1413.56,188.4763,,,,,,,,
,,,3/7/2011,143.96,344.42,1406.94,188.2318,,,,,,,,
,,,3/8/2011,144.24,344.87,1409.38,187.9441,,,,,,,,
,,,3/9/2011,144.09,345.27,1411.68,187.9254,,,,,,,,
,,,3/10/2011,143.11,345.56,1407.18,187.6797,,,,,,,,
,,,3/11/2011,143.31,347.46,1409.73,187.9205,,,,,,,,
,,,3/14/2011,143.22,347.6,1407.33,188.1099,,,,,,,,
,,,3/15/2011,142.47,348.36,1403.33,187.1273,,,,,,,,
,,,3/16/2011,141.93,348.02,1397.31,187.6094,,,,,,,,
,,,3/17/2011,142.35,348.53,1402.46,188.4155,,,,,,,,
,,,3/18/2011,142.54,348.13,1404.09,188.6154,,,,,,,,
,,,3/21/2011,143.25,349.3,1410.48,188.672,,,,,,,,
,,,3/22/2011,143.26,348.62,1409.67,188.901,,,,,,,,
,,,3/23/2011,143.72,349.57,1411.07,189.6718,,,,,,,,
,,,3/24/2011,143.96,349.44,1415.05,189.569,,,,,,,,
,,,3/25/2011,143.94,350.29,1415.27,189.4081,,,,,,,,
,,,3/28/2011,143.67,348.65,1413.56,188.7589,,,,,,,,
,,,3/29/2011,143.82,349.63,1414.67,188.6058,,,,,,,,
,,,3/30/2011,144.26,351.51,1420.95,188.7089,,,,,,,,
,,,3/31/2011,144.59,351.83,1418.92,189.1281,,,,,,,,
,,,4/1/2011,144.77,351.9,1423.82,188.9515,,,,,,,,
,,,4/4/2011,144.94,353.7,1425.33,189.2294,,,,,,,,
,,,4/5/2011,144.96,352.28,1424.15,189.1956,,,,,,,,
,,,4/6/2011,144.87,350.2,1421.91,189.29,,,,,,,,
,,,4/7/2011,144.74,347.78,1419.74,189.447,,,,,,,,
,,,4/8/2011,144.58,346.28,1416.01,190.091,,,,,,,,
,,,4/11/2011,144.33,346.05,1413.9,189.6773,,,,,,,,
,,,4/12/2011,144.24,346.56,1412.97,189.1913,,,,,,,,
,,,4/13/2011,144.57,347.17,1416.2,189.2726,,,,,,,,
,,,4/14/2011,144.72,348.91,1415.21,189.7326,,,,,,,,
,,,4/15/2011,145.26,351.71,1422.79,190.718,,,,,,,,
,,,4/18/2011,145.14,350.01,1416.56,190.8744,,,,,,,,
,,,4/19/2011,145.33,352.56,1421.98,191.2763,,,,,,,,
,,,4/20/2011,145.83,354.13,1431.3,191.9289,,,,,,,,
,,,4/21/2011,146.09,354.87,1435.14,192.7775,,,,,,,,
,,,4/22/2011,146.09,354.87,1435.14,192.7775,,,,,,,,
,,,4/25/2011,146.3,355.55,1436.2,192.9252,,,,,,,,
,,,4/26/2011,146.7,358.7,1445.1,192.7992,,,,,,,,
,,,4/27/2011,146.92,358.77,1446.34,192.6142,,,,,,,,
,,,4/28/2011,147.29,361.18,1450.54,193.8428,,,,,,,,
,,,4/29/2011,147.65,362.35,1453.78,194.5366,,,,,,,,
,,,5/2/2011,147.34,362.68,1453.36,194.1645,,,,,,,,
,,,5/3/2011,147.2,363.43,1451.82,193.4672,,,,,,,,
,,,5/4/2011,146.96,364.19,1450.05,192.0112,,,,,,,,
,,,5/5/2011,146.67,366.02,1448.47,189.5943,,,,,,,,
,,,5/6/2011,147.01,365.77,1450.26,189.6205,,,,,,,,
,,,5/9/2011,147.47,368.12,1453.52,190.8394,,,,,,,,
,,,5/10/2011,147.59,368.43,1455.67,191.0574,,,,,,,,
,,,5/11/2011,147.35,366.16,1450.95,190.558,,,,,,,,
,,,5/12/2011,147.28,367.06,1452,190.58,,,,,,,,
,,,5/13/2011,147.12,366.77,1449.94,190.5388,,,,,,,,
,,,5/16/2011,146.91,366.09,1446.73,190.352,,,,,,,,
,,,5/17/2011,147.24,368.92,1449.92,190.1754,,,,,,,,
,,,5/18/2011,147.05,369.51,1451.61,190.5547,,,,,,,,
,,,5/19/2011,146.91,366.95,1453.19,190.3651,,,,,,,,
,,,5/20/2011,147.11,366.57,1448.5,190.5033,,,,,,,,
,,,5/23/2011,147.1,366.95,1440.54,190.2373,,,,,,,,
,,,5/24/2011,147.35,365.83,1441.21,190.4137,,,,,,,,
,,,5/25/2011,147.37,367.32,1442.15,190.7014,,,,,,,,
,,,5/26/2011,148.45,370.24,1449.98,190.7294,,,,,,,,
,,,5/27/2011,148.83,371.87,1453.85,191.0045,,,,,,,,
,,,5/30/2011,148.83,371.87,1453.85,191.0045,,,,,,,,
,,,5/31/2011,149.39,375.04,1462.46,191.275,,,,,,,,
,,,6/1/2011,150.07,374.63,1452.8,191.0099,,,,,,,,
,,,6/2/2011,149.14,373.56,1444.98,190.8355,,,,,,,,
,,,6/3/2011,149.19,370.8,1439.72,190.797,,,,,,,,
,,,6/6/2011,148.79,367.67,1431.28,190.7096,,,,,,,,
,,,6/7/2011,148.3,366.61,1432.14,190.7273,,,,,,,,
,,,6/8/2011,148.87,368,1430.9,190.6408,,,,,,,,
,,,6/9/2011,148.54,368.99,1433.32,190.8116,,,,,,,,
,,,6/10/2011,148.35,366.3,1424.46,190.4053,,,,,,,,
,,,6/13/2011,147.69,365.4,1424.01,190.1799,,,,,,,,
,,,6/14/2011,146.71,364.5,1428.49,190.5768,,,,,,,,
,,,6/15/2011,148.2,363.45,1421,190.0955,,,,,,,,
,,,6/16/2011,149.41,366.53,1420.76,190.023,,,,,,,,
,,,6/17/2011,148.86,365.85,1420.54,190.0587,,,,,,,,
,,,6/20/2011,148.8,366.29,1423.97,190.0467,,,,,,,,
,,,6/21/2011,148.99,368.69,1434.88,190.4195,,,,,,,,
,,,6/22/2011,148.83,367.46,1431.06,190.4561,,,,,,,,
,,,6/23/2011,150,369.4,1432.43,189.9182,,,,,,,,
,,,6/24/2011,150,368.71,1425.33,189.7394,,,,,,,,
,,,6/27/2011,149.9,370.34,1429.62,189.7426,,,,,,,,
,,,6/28/2011,149.1,370.01,1434.39,190.1002,,,,,,,,
,,,6/29/2011,148.05,368.55,1437.78,190.5437,,,,,,,,
,,,6/30/2011,147.25,367.7,1443.28,190.8267,,,,,,,,
,,,7/1/2011,147.11,369.98,1452.29,190.9321,,,,,,,,
,,,7/4/2011,147.11,369.98,1452.29,190.9321,,,,,,,,
,,,7/5/2011,148.19,371.33,1453.85,191.1796,,,,,,,,
,,,7/6/2011,148.92,372.6,1456.09,191.1741,,,,,,,,
,,,7/7/2011,149.11,374.17,1462.11,191.4714,,,,,,,,
,,,7/8/2011,150.37,376.35,1462.96,191.3622,,,,,,,,
,,,7/11/2011,150.97,376.03,1457.47,191.086,,,,,,,,
,,,7/12/2011,151.13,376.21,1456.65,191.1281,,,,,,,,
,,,7/13/2011,151.84,377.62,1460.2,191.7686,,,,,,,,
,,,7/14/2011,150.74,376.12,1452.91,191.6206,,,,,,,,
,,,7/15/2011,151.52,376.92,1457.08,192.075,,,,,,,,
,,,7/18/2011,151.19,375.73,1452.03,191.8715,,,,,,,,
,,,7/19/2011,151.99,378.28,1462.09,192.5003,,,,,,,,
,,,7/20/2011,151.57,378.49,1460.4,192.4087,,,,,,,,
,,,7/21/2011,151.04,377.92,1460.82,192.3955,,,,,,,,
,,,7/22/2011,151.89,380.44,1465.99,193.0135,,,,,,,,
,,,7/25/2011,151.65,378.75,1461.98,192.8359,,,,,,,,
,,,7/26/2011,152.35,380.33,1465.55,193.1035,,,,,,,,
,,,7/27/2011,151.43,378.22,1459.28,192.4296,,,,,,,,
,,,7/28/2011,151.72,380.03,1461.43,192.3115,,,,,,,,
,,,7/29/2011,153.59,385.09,1472.42,192.3279,,,,,,,,
,,,8/1/2011,154.25,388.24,1474.99,191.9347,,,,,,,,
,,,8/2/2011,155.22,390.72,1486.01,191.4838,,,,,,,,
,,,8/3/2011,155.65,391.03,1486.15,191.0424,,,,,,,,
,,,8/4/2011,155.41,389.4,1487.11,189.1862,,,,,,,,
,,,8/5/2011,153.62,385.53,1476.75,187.5848,,,,,,,,
,,,8/8/2011,154.79,383.94,1477.49,187.5482,,,,,,,,
,,,8/9/2011,158.3,387.6,1489.38,187.9457,,,,,,,,
,,,8/10/2011,158.47,392.14,1499.96,188.5665,,,,,,,,
,,,8/11/2011,158.95,388.04,1486.94,187.8086,,,,,,,,
,,,8/12/2011,160.64,388.8,1491.93,188.1617,,,,,,,,
,,,8/15/2011,161.33,389.89,1494.35,188.3215,,,,,,,,
,,,8/16/2011,161.43,390.8,1498.19,188.6283,,,,,,,,
,,,8/17/2011,162.1,392.03,1503.26,189.4214,,,,,,,,
,,,8/18/2011,160.31,392.79,1504.83,190.193,,,,,,,,
,,,8/19/2011,159.74,393.34,1506.34,189.8547,,,,,,,,
,,,8/22/2011,159.51,394.21,1508.84,189.5713,,,,,,,,
,,,8/23/2011,161.07,392.13,1503.02,189.549,,,,,,,,
,,,8/24/2011,159.86,389.1,1491.24,188.61,,,,,,,,
,,,8/25/2011,159.3,389.18,1492.01,188.9564,,,,,,,,
,,,8/26/2011,160.93,391.21,1499.56,189.3959,,,,,,,,
,,,8/29/2011,162.15,390.34,1497.92,188.7771,,,,,,,,
,,,8/30/2011,163.43,392.07,1504.7,190.1253,,,,,,,,
,,,8/31/2011,162.88,392.04,1502.63,189.7524,,,,,,,,
,,,9/1/2011,163.61,392.51,1505.79,190.3068,,,,,,,,
,,,9/2/2011,165.15,394.94,1513.04,191.2486,,,,,,,,
,,,9/5/2011,165.15,394.94,1513.04,191.2486,,,,,,,,
,,,9/6/2011,165.02,394.54,1513.05,192.181,,,,,,,,
,,,9/7/2011,164.72,393.24,1508.7,191.5994,,,,,,,,
,,,9/8/2011,164.35,394.04,1512.42,191.974,,,,,,,,
,,,9/9/2011,163.64,393.86,1510.73,192.7916,,,,,,,,
,,,9/12/2011,164.01,393.14,1507.95,192.824,,,,,,,,
,,,9/13/2011,163.74,393.2,1507.66,192.6328,,,,,,,,
,,,9/14/2011,164.13,393.2,1509.45,192.4315,,,,,,,,
,,,9/15/2011,164.09,392.75,1507.36,192.1347,,,,,,,,
,,,9/16/2011,164.25,392.98,1510.13,192.4662,,,,,,,,
,,,9/19/2011,164.45,394.14,1511.26,193.3158,,,,,,,,
,,,9/20/2011,163.94,394.26,1513.02,193.3445,,,,,,,,
,,,9/21/2011,163.23,394.31,1513.82,193.4733,,,,,,,,
,,,9/22/2011,162.89,395.13,1512.09,193.8024,,,,,,,,
,,,9/23/2011,161.5,393.99,1504.22,193.5166,,,,,,,,
,,,9/26/2011,161.43,393.33,1502.04,193.2018,,,,,,,,
,,,9/27/2011,160.46,392.29,1502.97,192.7329,,,,,,,,
,,,9/28/2011,159.4,390.99,1497.02,192.623,,,,,,,,
,,,9/29/2011,160.83,391.18,1498.58,192.6059,,,,,,,,
,,,9/30/2011,159.64,390.3,1498.82,192.8381,,,,,,,,
,,,10/3/2011,160.51,389.63,1500,193.2149,,,,,,,,
,,,10/4/2011,161.54,389.76,1497.78,193.3885,,,,,,,,
,,,10/5/2011,161.19,391.21,1502.15,192.9915,,,,,,,,
,,,10/6/2011,161.38,392.13,1502.46,192.6304,,,,,,,,
,,,10/7/2011,160.05,391.14,1499.22,192.3821,,,,,,,,
,,,10/10/2011,160.66,394.5,1505.85,191.9505,,,,,,,,
,,,10/11/2011,161.15,394.34,1505.23,192.0514,,,,,,,,
,,,10/12/2011,161.09,395.17,1505.91,191.7757,,,,,,,,
