3-Jan-00,,,,,,,,,,,,,,,
31-Oct-23,,,,,,,,,,,,,,,
,A,,Start Date,1/3/2000,,,,,,,,,,,
,B,,End Date,,,,,,,,,,,,
,C,,,,,,,,,,,,,,
,,,,A Index,B Index,C Index,D Index ,,,,,,,,
,,,,Last Price,Last Price,Last Price,Last Price,,,,,,,,
,,,Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,,,,,,,,
,,,8/3/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/4/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/7/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/8/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/9/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/10/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/11/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/14/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/15/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/16/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/17/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/18/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/21/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/22/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/23/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/24/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/25/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/28/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/29/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/30/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/31/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/1/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/4/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/5/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/6/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/7/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/8/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/11/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/12/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/13/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/14/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/15/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/18/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/19/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/20/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/21/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/22/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/25/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/26/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/27/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/28/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,9/29/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/2/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/3/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/4/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/5/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/6/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/9/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/10/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/11/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/12/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/13/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/16/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,10/17/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
